2020-02-08 16:43:40.5588 | INFO | Executing ObjectResult, writing value of type 'System.String[]'. |  | Microsoft.AspNetCore.Mvc.Infrastructure.ObjectResultExecutor | url: https://localhost/api/values | action: Get
2020-02-08 16:43:40.6295 | INFO | Executed action TamrinLogger.Controllers.ValuesController.Get (TamrinLogger) in 6045.6473ms |  | Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker | url: https://localhost/api/values | action: Get
2020-02-08 16:43:40.6295 | INFO | Executed endpoint 'TamrinLogger.Controllers.ValuesController.Get (TamrinLogger)' |  | Microsoft.AspNetCore.Routing.EndpointMiddleware | url: https://localhost/api/values | action: Get
2020-02-08 16:43:40.6295 | INFO | Request finished in 6159.7043ms 200 application/json; charset=utf-8 |  | Microsoft.AspNetCore.Hosting.Internal.WebHost | url: https://localhost/api/values | action: Get
2020-02-08 16:43:54.7643 | INFO | Request starting HTTP/2.0 GET https://localhost:44394/api/values/1   |  | Microsoft.AspNetCore.Hosting.Internal.WebHost | url: https://localhost/api/values/1 | action: 
2020-02-08 16:43:54.7643 | INFO | Executing endpoint 'TamrinLogger.Controllers.ValuesController.Get (TamrinLogger)' |  | Microsoft.AspNetCore.Routing.EndpointMiddleware | url: https://localhost/api/values/1 | action: Get
2020-02-08 16:43:54.8209 | INFO | Route matched with {action = "Get", controller = "Values"}. Executing controller action with signature Microsoft.AspNetCore.Mvc.ActionResult`1[System.String] Get(Int32) on controller TamrinLogger.Controllers.ValuesController (TamrinLogger). |  | Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker | url: https://localhost/api/values/1 | action: Get
2020-02-08 16:44:03.3140 | INFO | Executing action method TamrinLogger.Controllers.ValuesController.Get (TamrinLogger) - Validation state: Valid |  | Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker | url: https://localhost/api/values/1 | action: Get
2020-02-08 16:44:08.7732 | ERROR | call get with id by id___test log error |  | TamrinLogger.Controllers.ValuesController | url: https://localhost/api/values/1 | action: Get
2020-02-08 16:44:13.3705 | INFO | Executed action method TamrinLogger.Controllers.ValuesController.Get (TamrinLogger), returned result Microsoft.AspNetCore.Mvc.ObjectResult in 10056.0007ms. |  | Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker | url: https://localhost/api/values/1 | action: Get
2020-02-08 16:44:13.3705 | INFO | Executing ObjectResult, writing value of type 'System.String'. |  | Microsoft.AspNetCore.Mvc.Infrastructure.ObjectResultExecutor | url: https://localhost/api/values/1 | action: Get
2020-02-08 16:44:13.3705 | INFO | Executed action TamrinLogger.Controllers.ValuesController.Get (TamrinLogger) in 18550.9121ms |  | Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker | url: https://localhost/api/values/1 | action: Get
2020-02-08 16:44:13.3705 | INFO | Executed endpoint 'TamrinLogger.Controllers.ValuesController.Get (TamrinLogger)' |  | Microsoft.AspNetCore.Routing.EndpointMiddleware | url: https://localhost/api/values/1 | action: Get
2020-02-08 16:44:13.3705 | INFO | Request finished in 18608.4022ms 200 text/plain; charset=utf-8 |  | Microsoft.AspNetCore.Hosting.Internal.WebHost | url: https://localhost/api/values/1 | action: Get
2020-02-08 16:44:52.7053 | INFO | Request starting HTTP/2.0 GET https://localhost:44394/api/values/15   |  | Microsoft.AspNetCore.Hosting.Internal.WebHost | url: https://localhost/api/values/15 | action: 
2020-02-08 16:44:52.7173 | INFO | Executing endpoint 'TamrinLogger.Controllers.ValuesController.Get (TamrinLogger)' |  | Microsoft.AspNetCore.Routing.EndpointMiddleware | url: https://localhost/api/values/15 | action: Get
2020-02-08 16:44:52.7173 | INFO | Route matched with {action = "Get", controller = "Values"}. Executing controller action with signature Microsoft.AspNetCore.Mvc.ActionResult`1[System.String] Get(Int32) on controller TamrinLogger.Controllers.ValuesController (TamrinLogger). |  | Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker | url: https://localhost/api/values/15 | action: Get
2020-02-08 16:44:58.9052 | INFO | Executing action method TamrinLogger.Controllers.ValuesController.Get (TamrinLogger) - Validation state: Valid |  | Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker | url: https://localhost/api/values/15 | action: Get
2020-02-08 16:45:14.3431 | ERROR | call get with id by id___test log error |  | TamrinLogger.Controllers.ValuesController | url: https://localhost/api/values/15 | action: Get
2020-02-08 16:45:15.7262 | INFO | Executed action method TamrinLogger.Controllers.ValuesController.Get (TamrinLogger), returned result Microsoft.AspNetCore.Mvc.ObjectResult in 16820.5841ms. |  | Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker | url: https://localhost/api/values/15 | action: Get
2020-02-08 16:45:15.7262 | INFO | Executing ObjectResult, writing value of type 'System.String'. |  | Microsoft.AspNetCore.Mvc.Infrastructure.ObjectResultExecutor | url: https://localhost/api/values/15 | action: Get
2020-02-08 16:45:15.7262 | INFO | Executed action TamrinLogger.Controllers.ValuesController.Get (TamrinLogger) in 23008.8967ms |  | Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker | url: https://localhost/api/values/15 | action: Get
2020-02-08 16:45:15.7262 | INFO | Executed endpoint 'TamrinLogger.Controllers.ValuesController.Get (TamrinLogger)' |  | Microsoft.AspNetCore.Routing.EndpointMiddleware | url: https://localhost/api/values/15 | action: Get
2020-02-08 16:45:15.7262 | INFO | Request finished in 23022.2644ms 200 text/plain; charset=utf-8 |  | Microsoft.AspNetCore.Hosting.Internal.WebHost | url: https://localhost/api/values/15 | action: Get
